City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,luderitz,NA,-26.6481,15.1594,64.87,81,4,14.97,clear sky
1,tenenkou,ML,14.4572,-4.9169,69.26,15,11,9.66,few clouds
2,hinton,CA,53.4001,-117.5857,30.51,88,67,3.76,broken clouds
3,tasiilaq,GL,65.6145,-37.6368,4.05,84,57,5.55,broken clouds
4,qaanaaq,GL,77.484,-69.3632,-20.29,71,12,2.73,few clouds
5,sao joao da barra,BR,-21.6403,-41.0511,80.69,87,61,20.87,broken clouds
6,puerto ayora,EC,-0.7393,-90.3518,78.76,87,95,4.0,overcast clouds
7,college,US,64.8569,-147.8028,10.58,86,86,2.98,overcast clouds
8,virginia beach,US,36.8529,-75.978,71.64,70,100,12.66,overcast clouds
9,yellowknife,CA,62.456,-114.3525,5.56,92,100,10.36,light snow
10,christchurch,NZ,-43.5333,172.6333,76.41,68,98,11.5,overcast clouds
11,kapaa,US,22.0752,-159.319,81.48,63,17,1.99,few clouds
12,saquena,PE,-4.6667,-73.5167,86.31,58,74,4.9,broken clouds
13,clyde river,CA,70.4692,-68.5914,-21.77,76,40,13.8,haze
14,ancud,CL,-41.8697,-73.8203,58.78,80,58,6.35,broken clouds
15,ushuaia,AR,-54.8,-68.3,49.62,61,40,26.46,scattered clouds
16,nanortalik,GL,60.1432,-45.2371,12.27,63,18,7.99,few clouds
17,tuatapere,NZ,-46.1333,167.6833,68.68,59,100,1.63,overcast clouds
18,linhares,BR,-19.3911,-40.0722,75.78,83,89,7.7,overcast clouds
19,plainview,US,40.7765,-73.4673,54.0,92,100,4.0,overcast clouds
20,lebu,CL,-37.6167,-73.65,59.61,78,0,22.41,clear sky
21,rio gallegos,AR,-51.6226,-69.2181,62.65,72,0,26.46,clear sky
22,ilanskiy,RU,56.2358,96.065,-10.97,100,36,2.39,scattered clouds
23,moramanga,MG,-18.9333,48.2,64.0,93,100,1.81,overcast clouds
24,lerwick,GB,60.1545,-1.1494,44.6,84,99,9.66,overcast clouds
25,coaticook,CA,45.1334,-71.7991,37.17,94,100,2.42,overcast clouds
26,busselton,AU,-33.65,115.3333,60.01,74,21,14.14,few clouds
27,jamestown,US,42.097,-79.2353,58.01,67,100,6.91,mist
28,aykhal,RU,66.0,111.5,-23.71,100,100,9.53,overcast clouds
29,waddan,LY,29.1614,16.139,54.03,69,0,6.35,clear sky
30,benesov nad ploucnici,CZ,50.7416,14.3124,41.11,90,66,3.31,broken clouds
31,albany,US,42.6001,-73.9662,37.63,93,100,1.97,light rain
32,punta arenas,CL,-53.15,-70.9167,57.31,41,75,32.21,broken clouds
33,longyearbyen,SJ,78.2186,15.6401,30.04,74,75,11.5,broken clouds
34,mataura,NZ,-46.1927,168.8643,69.44,59,100,1.68,overcast clouds
35,derby,GB,52.9228,-1.4766,54.97,87,75,21.85,moderate rain
36,boa vista,BR,2.8197,-60.6733,87.78,51,40,8.05,scattered clouds
37,rikitea,PF,-23.1203,-134.9692,78.55,75,35,12.03,scattered clouds
38,nicoya,CR,10.1483,-85.452,84.81,53,8,7.52,clear sky
39,dicabisagan,PH,17.0818,122.4157,74.43,87,100,13.02,overcast clouds
40,khasan,RU,42.4308,130.6434,18.59,43,0,17.47,clear sky
41,chuy,UY,-33.6971,-53.4616,70.74,56,59,12.03,broken clouds
42,boysun,UZ,38.2061,67.1986,35.83,70,98,4.65,overcast clouds
43,dikson,RU,73.5069,80.5464,-26.97,98,26,10.13,scattered clouds
44,la palma,US,33.8464,-118.0467,61.0,92,100,11.5,mist
45,antofagasta,CL,-23.65,-70.4,67.28,76,8,8.12,clear sky
46,santander,ES,43.4647,-3.8044,48.45,80,0,5.01,clear sky
47,glens falls,US,43.3095,-73.644,38.88,96,100,6.91,light rain
48,thohoyandou,ZA,-22.9456,30.485,71.31,49,2,1.81,clear sky
49,barrow,US,71.2906,-156.7887,6.82,78,100,14.97,mist
50,hastings,GB,50.8552,0.5729,53.98,93,100,36.01,overcast clouds
51,zabid,YE,14.1951,43.3152,77.95,64,40,3.33,scattered clouds
52,bluff,NZ,-46.6,168.3333,61.54,81,100,2.48,overcast clouds
53,emba,KZ,48.8264,58.1442,21.85,95,100,9.55,overcast clouds
54,payson,US,40.0444,-111.7321,36.99,79,100,1.99,light snow
55,bengkulu,ID,-3.8004,102.2655,73.6,89,100,3.42,overcast clouds
56,omboue,GA,-1.5746,9.2618,77.34,87,100,7.34,overcast clouds
57,hobart,AU,-42.8794,147.3294,58.26,77,75,4.61,broken clouds
58,atuona,PF,-9.8,-139.0333,78.98,72,12,21.74,few clouds
59,hithadhoo,MV,-0.6,73.0833,80.22,73,23,10.63,few clouds
60,kodiak,US,57.79,-152.4072,35.11,100,100,10.36,mist
61,provideniya,RU,64.3833,-173.3,-5.98,93,99,8.34,overcast clouds
62,port alfred,ZA,-33.5906,26.891,68.18,88,62,5.99,broken clouds
63,hendrina,ZA,-26.1588,29.7153,58.41,72,73,2.28,broken clouds
64,ostrovnoy,RU,68.0531,39.5131,25.27,92,100,30.98,snow
65,itoman,JP,26.1247,127.6694,62.62,79,75,16.11,broken clouds
66,alyangula,AU,-13.8483,136.4192,82.29,80,100,17.85,overcast clouds
67,ambulu,ID,-8.345,113.6058,75.83,89,100,6.13,overcast clouds
68,saint anthony,US,45.0205,-93.218,29.48,93,100,12.66,mist
69,show low,US,34.2542,-110.0298,35.08,85,100,12.66,mist
70,batemans bay,AU,-35.7167,150.1833,65.1,94,100,6.13,light rain
71,vao,NC,-22.6667,167.4833,75.29,73,14,6.38,few clouds
72,vaini,TO,-21.2,-175.2,78.85,76,100,14.92,overcast clouds
73,atasu,KZ,48.6814,71.6433,19.4,91,100,28.86,overcast clouds
74,east london,ZA,-33.0153,27.9116,74.66,70,1,10.98,clear sky
75,thompson,CA,55.7435,-97.8558,3.38,97,98,4.56,overcast clouds
76,hermanus,ZA,-34.4187,19.2345,64.8,87,92,9.62,light rain
77,xiaoweizhai,CN,26.1903,107.5125,42.96,80,100,2.44,overcast clouds
78,mount isa,AU,-20.7333,139.5,76.77,100,100,0.0,overcast clouds
79,zaraza,VE,9.3503,-65.3245,79.75,62,94,11.34,overcast clouds
80,hambantota,LK,6.1241,81.1185,75.54,88,40,9.22,scattered clouds
81,cape town,ZA,-33.9258,18.4232,70.88,82,75,9.22,light rain
82,douglas,US,41.3,-96.167,30.18,91,100,16.11,overcast clouds
83,abu samrah,SY,35.3029,37.1841,44.58,52,44,4.68,scattered clouds
84,mosquera,CO,4.7059,-74.2302,54.84,90,94,3.8,overcast clouds
85,pringsewu,ID,-5.3582,104.9744,73.13,93,100,1.36,overcast clouds
86,mount gambier,AU,-37.8333,140.7667,57.49,54,98,9.98,overcast clouds
87,west helena,US,34.5507,-90.6418,71.35,71,29,10.51,scattered clouds
88,esperance,AU,-33.8667,121.9,61.99,69,73,14.36,broken clouds
89,dingle,PH,10.9995,122.6711,74.25,96,100,14.07,moderate rain
90,okha,RU,53.5739,142.9478,-0.65,92,100,27.74,overcast clouds
91,lavrentiya,RU,65.5833,-171.0,-10.05,92,99,8.39,overcast clouds
92,avarua,CK,-21.2078,-159.775,77.52,80,100,18.79,light rain
93,bredasdorp,ZA,-34.5322,20.0403,68.95,78,89,9.78,overcast clouds
94,saint-ambroise,CA,48.5501,-71.3324,34.12,92,100,3.36,overcast clouds
95,hilo,US,19.7297,-155.09,89.28,81,8,4.0,clear sky
96,faanui,PF,-16.4833,-151.75,81.66,69,88,13.2,overcast clouds
97,itamaraca,BR,-7.7478,-34.8256,78.26,81,100,8.97,overcast clouds
98,veraval,IN,20.9,70.3667,65.86,40,0,14.43,clear sky
99,lazo,RU,43.3817,133.9014,2.48,83,20,7.38,few clouds
100,vizinga,RU,61.0749,50.1031,-2.92,100,93,4.59,overcast clouds
101,osa,RU,57.2829,55.4567,-13.99,100,90,1.21,overcast clouds
102,klaksvik,FO,62.2266,-6.589,41.92,92,64,12.62,broken clouds
103,szydlowiec,PL,51.2282,20.8611,37.53,81,6,9.22,clear sky
104,temerloh,MY,3.4483,102.4176,73.98,99,88,2.13,overcast clouds
105,orange park,US,30.1661,-81.7065,81.01,67,75,8.05,broken clouds
106,port elizabeth,ZA,-33.918,25.5701,73.09,93,0,16.11,clear sky
107,camacha,PT,33.0833,-16.3333,60.22,67,75,17.27,broken clouds
108,touros,BR,-5.1989,-35.4608,79.14,79,98,11.41,overcast clouds
109,vila velha,BR,-20.3297,-40.2925,77.95,83,93,11.01,overcast clouds
110,fortuna,US,40.5982,-124.1573,53.94,76,100,17.27,overcast clouds
111,mahebourg,MU,-20.4081,57.7,78.26,83,40,4.61,scattered clouds
112,kushmurun,KZ,52.4503,64.6311,16.14,88,11,12.33,few clouds
113,santa cruz de la palma,ES,28.6835,-17.7642,68.14,83,75,11.5,broken clouds
114,constitucion,CL,-35.3333,-72.4167,67.75,62,1,18.14,clear sky
115,vilyuysk,RU,63.7553,121.6247,-1.62,99,100,2.95,overcast clouds
116,castro,BR,-24.7911,-50.0119,66.88,96,66,5.06,broken clouds
117,akyab,MM,20.15,92.9,63.93,64,4,5.77,clear sky
118,sitka,US,57.0531,-135.33,38.89,96,100,6.49,overcast clouds
119,kruisfontein,ZA,-34.0033,24.7314,69.89,88,27,18.45,scattered clouds
120,quelimane,MZ,-17.8786,36.8883,78.75,89,75,5.75,broken clouds
121,half moon bay,US,37.4636,-122.4286,59.0,86,75,12.66,mist
122,nikolskoye,RU,59.7035,30.7861,28.29,91,89,3.94,overcast clouds
123,mamallapuram,IN,12.6264,80.1722,78.85,76,21,9.26,light rain
124,anjangaon,IN,21.1631,77.3094,62.33,45,0,3.13,clear sky
125,cabedelo,BR,-6.9811,-34.8339,78.96,79,85,9.78,overcast clouds
126,springfield,US,37.2153,-93.2982,56.23,53,47,13.0,scattered clouds
127,new norfolk,AU,-42.7826,147.0587,58.91,54,80,0.6,broken clouds
128,luena,AO,-11.7833,19.9167,61.72,95,100,2.71,overcast clouds
129,ilulissat,GL,69.2167,-51.1,-0.38,46,0,13.8,clear sky
130,tilichiki,RU,60.4667,166.1,-19.77,92,5,10.29,clear sky
131,saldanha,ZA,-33.0117,17.9442,68.05,93,97,8.81,overcast clouds
132,puerto baquerizo moreno,EC,-0.9,-89.6,71.82,83,76,10.22,broken clouds
133,mar del plata,AR,-38.0023,-57.5575,72.82,58,0,9.22,clear sky
134,campbellton,CA,48.0075,-66.6727,32.36,91,100,3.42,overcast clouds
135,pangnirtung,CA,66.1451,-65.7125,-6.48,94,100,2.1,overcast clouds
136,upernavik,GL,72.7868,-56.1549,-16.96,68,3,7.0,clear sky
137,coahuayana,MX,18.7333,-103.6833,86.02,43,0,6.13,clear sky
138,deer lake,CA,49.1667,-57.4316,22.14,90,66,5.03,broken clouds
139,libreville,GA,0.3925,9.4537,79.16,79,100,7.49,overcast clouds
140,havelock,US,34.8791,-76.9013,68.99,88,94,5.01,overcast clouds
141,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,-3.41,84,20,2.24,few clouds
142,sinnamary,GF,5.3833,-52.95,76.8,90,100,9.82,heavy intensity rain
143,vila do maio,CV,15.1333,-23.2167,74.19,73,71,18.86,broken clouds
144,leo,BF,11.1,-2.1,68.63,20,6,8.14,clear sky
145,victoria,HK,22.2855,114.1577,62.26,78,45,8.99,scattered clouds
146,wanning,CN,18.8003,110.3967,64.78,89,100,11.12,overcast clouds
147,cabo san lucas,MX,22.8909,-109.9124,76.6,66,37,3.94,scattered clouds
148,saint-honore,CA,48.5334,-71.0824,33.82,89,100,1.19,overcast clouds
149,mitu,CO,1.1983,-70.1733,73.74,90,100,1.59,overcast clouds
150,codrington,AU,-38.2667,141.9667,57.25,56,100,13.94,overcast clouds
151,kloulklubed,PW,7.0419,134.2556,73.9,77,66,16.71,broken clouds
152,qujing,CN,25.4833,103.7833,37.92,98,25,5.17,scattered clouds
153,turukhansk,RU,65.8167,87.9833,-23.46,93,86,7.09,overcast clouds
154,alexandria,EG,31.2156,29.9553,61.61,75,38,13.65,light rain
155,arraial do cabo,BR,-22.9661,-42.0278,76.42,85,43,23.06,scattered clouds
156,tambura,SS,5.6,27.4667,73.71,48,8,3.42,clear sky
157,buta,CD,2.7858,24.73,74.08,60,15,2.59,few clouds
158,omsukchan,RU,62.5333,155.8,-30.19,94,92,4.07,overcast clouds
159,aripuana,BR,-9.1667,-60.6333,78.15,79,63,1.66,broken clouds
160,znamenskoye,RU,57.1281,73.8282,19.42,93,100,8.61,overcast clouds
161,sant julia de loria,AD,42.4625,1.4825,40.98,89,12,3.71,few clouds
162,jaguaruna,BR,-28.615,-49.0256,72.05,82,88,6.96,overcast clouds
163,moose factory,CA,51.2585,-80.6094,19.38,79,100,9.22,overcast clouds
164,biltine,TD,14.5333,20.9167,69.19,26,5,15.75,clear sky
165,kununurra,AU,-15.7667,128.7333,76.98,88,100,8.05,overcast clouds
166,lagoa,PT,39.05,-27.9833,60.04,81,100,14.74,overcast clouds
167,antalaha,MG,-14.9003,50.2788,75.81,80,44,2.8,scattered clouds
168,bethel,US,41.3712,-73.414,51.89,88,100,3.44,mist
169,qaqortoq,GL,60.7167,-46.0333,-2.11,65,25,7.43,scattered clouds
170,ongandjera,NA,-17.8833,15.0667,70.3,74,100,11.9,moderate rain
171,gat,IL,31.61,34.7642,57.88,100,99,2.8,overcast clouds
172,custodia,BR,-8.0875,-37.6431,80.38,52,92,7.83,light rain
173,butaritari,KI,3.0707,172.7902,77.56,87,100,10.83,moderate rain
174,kavieng,PG,-2.5744,150.7967,78.24,91,100,10.56,heavy intensity rain
175,tuktoyaktuk,CA,69.4541,-133.0374,-1.57,97,80,9.13,broken clouds
176,taltal,CL,-25.4,-70.4833,69.66,69,24,6.93,few clouds
177,takestan,IR,36.0696,49.6959,33.06,47,0,3.36,clear sky
178,katsuura,JP,35.1333,140.3,43.74,55,92,11.01,overcast clouds
179,georgetown,MY,5.4112,100.3354,78.73,90,20,2.3,thunderstorm
180,tessalit,ML,20.1986,1.0114,62.44,21,0,10.83,clear sky
181,valparaiso,CL,-33.0393,-71.6273,79.03,42,0,16.11,clear sky
182,severo-kurilsk,RU,50.6789,156.125,15.57,55,77,6.93,broken clouds
183,rosarito,MX,32.3333,-117.0333,60.12,79,100,12.95,overcast clouds
184,lasa,IT,46.6166,10.7002,36.36,93,85,1.03,overcast clouds
185,betafo,MG,-19.8333,46.85,61.32,97,100,1.83,light rain
186,ponta do sol,PT,32.6667,-17.1,65.03,58,34,9.33,scattered clouds
187,chokurdakh,RU,70.6333,147.9167,-44.84,100,64,2.37,broken clouds
188,isangel,VU,-19.55,169.2667,86.11,70,40,9.22,scattered clouds
189,rio casca,BR,-20.2261,-42.6508,70.95,98,97,3.18,moderate rain
190,namatanai,PG,-3.6667,152.4333,81.28,78,97,5.28,light rain
191,pemangkat,ID,1.1667,108.9667,76.69,85,100,8.12,light rain
192,osvaldo cruz,BR,-21.7967,-50.8786,74.05,82,100,7.07,overcast clouds
193,makakilo city,US,21.3469,-158.0858,79.61,65,75,10.36,broken clouds
194,sao raimundo das mangabeiras,BR,-7.0219,-45.4811,76.08,84,59,2.89,broken clouds
195,orange cove,US,36.6244,-119.3137,62.24,62,0,4.61,clear sky
196,vestmannaeyjar,IS,63.4427,-20.2734,29.3,75,100,24.87,overcast clouds
197,aquiraz,BR,-3.9014,-38.3911,82.49,82,91,9.37,overcast clouds
198,hit,IQ,33.6416,42.8251,53.89,36,100,3.91,overcast clouds
199,bathsheba,BB,13.2167,-59.5167,79.41,73,20,14.97,light rain
200,monte santo,BR,-10.4378,-39.3328,71.6,81,93,4.97,overcast clouds
201,puerto carreno,CO,6.189,-67.4859,87.58,47,72,11.03,broken clouds
202,saint george,US,37.1041,-113.5841,46.44,82,100,5.75,overcast clouds
203,puttur,IN,12.7667,75.2167,73.51,74,2,2.75,clear sky
204,iqaluit,CA,63.7506,-68.5145,-2.31,84,100,5.77,overcast clouds
205,puerto suarez,BO,-18.95,-57.8,79.09,81,100,2.66,overcast clouds
206,plettenberg bay,ZA,-34.0527,23.3716,70.36,83,70,10.29,broken clouds
207,leningradskiy,RU,69.3833,178.4167,-18.45,97,100,19.77,overcast clouds
208,bousse,BF,12.6606,-1.8922,67.1,20,79,8.55,broken clouds
209,flin flon,CA,54.7682,-101.865,15.53,95,24,3.36,few clouds
210,khatanga,RU,71.9667,102.5,-27.89,100,100,1.3,overcast clouds
211,nouadhibou,MR,20.931,-17.0347,69.04,64,0,16.37,clear sky
212,hofn,IS,64.2539,-15.2082,33.73,82,91,28.57,light snow
213,saint-philippe,RE,-21.3585,55.7679,76.59,79,76,10.25,light rain
214,mildura,AU,-34.2,142.15,60.08,59,0,18.66,clear sky
215,karangampel,ID,-6.4622,108.4519,77.36,81,100,14.05,overcast clouds
216,peniche,PT,39.3558,-9.3811,50.45,71,16,9.46,few clouds
217,pevek,RU,69.7008,170.3133,-37.34,100,100,2.89,overcast clouds
218,coquimbo,CL,-29.9533,-71.3436,67.73,68,0,12.66,clear sky
219,komsomolskiy,UZ,40.4272,71.7189,32.72,93,100,2.3,fog
220,snyder,US,32.7179,-100.9176,57.09,28,0,20.71,clear sky
221,bluefields,NI,12.0137,-83.7635,78.73,79,4,7.63,clear sky
222,la ronge,CA,55.1001,-105.2842,18.97,94,53,3.49,broken clouds
223,poronaysk,RU,49.2167,143.1167,-0.35,89,100,7.61,overcast clouds
224,saint-joseph,RE,-21.3667,55.6167,75.58,79,75,7.47,light rain
225,vallenar,CL,-28.5708,-70.7581,81.21,34,0,8.63,clear sky
226,te anau,NZ,-45.4167,167.7167,67.82,51,100,2.04,light rain
227,ahipara,NZ,-35.1667,173.1667,67.75,96,100,17.27,overcast clouds
228,manakara,MG,-22.1333,48.0167,74.08,88,100,6.17,light rain
229,russell,US,32.3502,-85.1999,69.39,94,20,0.0,thunderstorm with rain
230,san juan,AR,-31.5375,-68.5364,88.18,18,0,14.63,clear sky
231,praia,CV,14.9215,-23.5087,73.94,73,0,18.41,clear sky
232,alvorada,BR,-12.48,-49.1247,75.02,88,100,1.52,overcast clouds
233,yulara,AU,-25.2406,130.9889,67.6,52,100,21.16,overcast clouds
234,vanimo,PG,-2.6741,141.3028,76.82,90,100,5.3,overcast clouds
235,mehamn,NO,71.0357,27.8492,31.91,93,75,3.44,broken clouds
236,torbay,CA,47.6666,-52.7314,30.58,83,63,5.01,broken clouds
237,truth or consequences,US,33.1284,-107.2528,50.23,40,0,23.02,clear sky
238,laguna,US,38.421,-121.4238,55.76,85,100,4.61,overcast clouds
239,nemuro,JP,43.3236,145.575,20.34,54,52,16.53,broken clouds
240,jalu,LY,29.0331,21.5482,55.81,53,24,8.81,few clouds
241,laurel,US,39.0993,-76.8483,68.94,79,0,9.22,clear sky
242,margate,GB,51.3813,1.3862,52.11,92,100,13.0,overcast clouds
243,bonnyville,CA,54.2668,-110.735,18.46,90,37,3.65,scattered clouds
244,akure,NG,7.2526,5.1931,73.89,34,60,1.1,broken clouds
245,paita,PE,-5.0892,-81.1144,71.87,75,100,12.24,overcast clouds
246,guerrero negro,MX,27.9769,-114.0611,63.09,57,85,11.48,overcast clouds
247,rundu,NA,-17.9333,19.7667,68.95,69,63,4.76,broken clouds
248,carutapera,BR,-1.195,-46.02,77.38,87,57,6.53,broken clouds
249,cuamba,MZ,-14.8031,36.5372,68.5,95,100,2.35,light rain
250,panjab,AF,34.388,67.0233,0.79,70,1,6.24,clear sky
251,horsham,GB,51.064,-0.3272,54.45,93,75,16.11,broken clouds
252,talakan,RU,50.3167,130.3667,-27.6,100,72,1.34,broken clouds
253,waitati,NZ,-45.75,170.5667,59.81,95,100,4.92,light rain
254,rabo de peixe,PT,37.8,-25.5833,58.51,72,75,9.22,broken clouds
255,carson city,US,39.1638,-119.7674,42.55,78,98,1.01,overcast clouds
256,airai,TL,-8.9266,125.4092,60.58,89,63,2.93,broken clouds
257,saskylakh,RU,71.9167,114.0833,-42.11,100,93,5.75,overcast clouds
258,talara,PE,-4.5772,-81.2719,77.76,57,0,8.05,clear sky
259,mahon,ES,39.8885,4.2658,54.16,100,40,5.75,scattered clouds
260,zheleznodorozhnyy,RU,55.7503,38.0042,35.15,91,100,14.36,light snow
261,carnarvon,AU,-24.8667,113.6333,79.12,74,62,8.46,broken clouds
262,lashio,MM,22.9333,97.75,49.3,90,0,1.57,clear sky
263,holland,US,42.7875,-86.1089,44.2,94,100,8.05,mist
264,kavaratti,IN,10.5669,72.642,80.01,72,3,8.5,clear sky
265,puerto del rosario,ES,28.5004,-13.8627,67.75,77,20,14.97,few clouds
266,zhigansk,RU,66.7697,123.3711,-19.52,97,100,12.33,overcast clouds
267,ligayan,PH,4.6533,119.4706,79.34,78,88,5.48,overcast clouds
268,nago,JP,26.5881,127.9761,59.45,79,99,15.14,overcast clouds
269,walvis bay,NA,-22.9575,14.5053,67.08,85,62,10.29,broken clouds
270,general roca,AR,-39.0333,-67.5833,91.62,13,9,14.12,clear sky
271,haines junction,CA,60.7522,-137.5108,26.67,95,100,0.22,overcast clouds
272,broome,US,42.2506,-75.833,52.81,84,100,4.61,light rain
273,ruyigi,BI,-3.45,30.3167,57.09,87,7,3.6,clear sky
274,praia da vitoria,PT,38.7333,-27.0667,61.75,81,28,16.24,scattered clouds
275,novosheshminsk,RU,55.0651,51.2338,18.28,97,100,5.12,light snow
276,husavik,IS,66.0449,-17.3389,22.48,90,100,4.27,overcast clouds
277,san jose,US,37.3394,-121.895,59.32,66,75,13.0,broken clouds
278,malanje,AO,-9.5402,16.341,63.34,95,98,1.16,light rain
279,pochutla,MX,15.7432,-96.4661,84.99,50,74,8.28,broken clouds
280,donskoye,RU,45.4552,41.9741,48.33,78,20,9.22,few clouds
281,san quintin,MX,30.4833,-115.95,59.74,68,100,5.08,overcast clouds
